Alg = 1 || N = 100000 || Time: 239346
Alg = 1 || N = 200000 || Time: 116179
Alg = 1 || N = 400000 || Time: 220577
Alg = 1 || N = 800000 || Time: 441652
Alg = 1 || N = 1600000 || Time: 893916
Alg = 1 || N = 3200000 || Time: 1857528
Alg = 1 || N = 6400000 || Time: 3634954
Alg = 2 || N = 2500 || Time: 1173928
Alg = 2 || N = 5000 || Time: 3776597
Alg = 2 || N = 10000 || Time: 15145768
Alg = 2 || N = 20000 || Time: 60369599
Alg = 2 || N = 40000 || Time: 239491914
Alg = 2 || N = 80000 || Time: 956111035
Alg = 3 || N = 125 || Time: 321613
Alg = 3 || N = 250 || Time: 674800
Alg = 3 || N = 500 || Time: 5173997
Alg = 3 || N = 1000 || Time: 40709169
Alg = 3 || N = 2000 || Time: 321703805
